gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
198,-485,49.625,-121.125,4,2,6.0,7,5,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,0.7142857142857143,3.8
198,-480,49.625,-119.875,7,3,21.0,9,3,True,0.14081632653061224,0.06896551724137931,0.10489092188599577,0.014285714285714285,0.3333333333333333,2.43
198,-479,49.625,-119.625,51,1,256.0,83,29,True,0.017273576097105506,0.0,0.008636788048552753,0.11904761904761904,0.3493975903614458,3.21
198,-475,49.625,-118.625,1,7,0.0,10,7,True,1.0,0.20689655172413793,0.603448275862069,0.0,0.7,4.25
198,-471,49.625,-117.625,6,4,1.0,10,7,True,0.16468253968253968,0.10344827586206896,0.13406540777230433,0.011904761904761904,0.7,4.195
198,-470,49.625,-117.375,3,1,3.0,1,1,True,0.33174603174603173,0.0,0.16587301587301587,0.004761904761904762,1.0,
198,-469,49.625,-117.125,4,2,6.0,17,14,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,0.8235294117647058,4.345
198,-468,49.625,-116.875,3,4,3.0,1,1,True,0.33174603174603173,0.10344827586206896,0.21759715380405034,0.004761904761904762,1.0,
198,-465,49.625,-116.125,1,4,0.0,0,0,False,1.0,0.10344827586206896,0.5517241379310345,0.0,,
198,-464,49.625,-115.875,6,1,15.0,1,1,True,0.16468253968253968,0.0,0.08234126984126984,0.011904761904761904,1.0,
198,-459,49.625,-114.625,4,15,2.0,5,3,True,0.24821428571428572,0.4827586206896552,0.3654864532019705,0.007142857142857143,0.6,3.0
198,-458,49.625,-114.375,28,1,220.5,1,1,True,0.033418367346938774,0.0,0.016709183673469387,0.06428571428571428,1.0,
198,-457,49.625,-114.125,13,2,45.0,7,7,True,0.07472527472527474,0.034482758620689655,0.054604016672982196,0.02857142857142857,1.0,5.0
199,-503,49.875,-125.625,3,1,0.5,2,1,True,0.33174603174603173,0.0,0.16587301587301587,0.004761904761904762,0.5,
199,-501,49.875,-125.125,10,2,12.5,16,8,True,0.09785714285714286,0.034482758620689655,0.06616995073891627,0.02142857142857143,0.5,3.21
199,-500,49.875,-124.875,5,2,4.5,2,2,True,0.1980952380952381,0.034482758620689655,0.11628899835796389,0.009523809523809525,1.0,
199,-499,49.875,-124.625,6,2,8.0,3,2,True,0.16468253968253968,0.034482758620689655,0.09958264915161466,0.011904761904761904,0.6666666666666666,
199,-498,49.875,-124.375,3,8,3.0,1,1,True,0.33174603174603173,0.2413793103448276,0.28656267104542965,0.004761904761904762,1.0,
199,-493,49.875,-123.125,8,2,4.0,11,5,True,0.12291666666666667,0.034482758620689655,0.07869971264367817,0.016666666666666666,0.45454545454545453,2.205
199,-484,49.875,-120.875,1,6,0.0,3,3,True,1.0,0.1724137931034483,0.5862068965517242,0.0,1.0,
199,-483,49.875,-120.625,2,9,1.0,8,7,True,0.4988095238095238,0.27586206896551724,0.3873357963875205,0.002380952380952381,0.875,4.63
199,-479,49.875,-119.625,3,6,3.0,1,1,True,0.33174603174603173,0.1724137931034483,0.25207991242474004,0.004761904761904762,1.0,
199,-478,49.875,-119.375,5,2,0.0,7,3,True,0.1980952380952381,0.034482758620689655,0.11628899835796389,0.009523809523809525,0.42857142857142855,2.63
199,-476,49.875,-118.875,6,8,1.0,1,1,True,0.16468253968253968,0.2413793103448276,0.20303092501368364,0.011904761904761904,1.0,
199,-471,49.875,-117.625,1,1,0.0,3,1,True,1.0,0.0,0.5,0.0,0.3333333333333333,
199,-470,49.875,-117.375,2,7,1.0,2,2,True,0.4988095238095238,0.20689655172413793,0.35285303776683086,0.002380952380952381,1.0,
199,-464,49.875,-115.875,3,5,0.5,1,1,True,0.33174603174603173,0.13793103448275862,0.23483853311439518,0.004761904761904762,1.0,
